実行日時,実行環境,手法,MAE,MAE_std,RMSE,MAPE,R2,行数,fold数,seed,備考
2026-08-29 17:01,mac,D3 全部乗せ(model カテゴリ+埋め込み),2667.411,6.926,4551.768,28.98,0.877,60000,5,42,model をカテゴリとしても埋め込みとしても入れた場合
2026-08-29 17:04,mac,D4 埋め込み+文字TF-IDF,2595.514,7.349,4436.36,28.34,0.8832,60000,5,42,未知の model に強い文字TF-IDF と、既知に強い埋め込みの併用
2026-08-29 22:01,mac,A2' 構造化列のみ,3233.538,22.061,5288.855,33.01,0.834,60000,5,42,"比較の下限。既測 3,234"
2026-08-29 22:01,mac,B2' + 手書きルール正規化,2782.948,6.947,4751.044,29.64,0.866,60000,5,42,"機能A が置き換えたい相手。既測 2,783"
2026-08-29 22:05,mac,F(b)' + 機能A・ラベル0件（値の名前だけ）,2789.348,18.974,4730.494,29.47,0.8672,60000,5,42,unfold Feature。教師ラベルを使わない
2026-08-29 22:09,mac,F(a)' + 機能A・人手ラベル200件,2781.36,18.634,4735.368,29.4,0.8669,60000,5,42,仕様書が前提にしている件数
2026-08-29 22:11,mac,F(c)' + 機能A・埋め込み列（既定エンコーダ）,2601.138,3.925,4452.341,28.34,0.8824,60000,5,42,"文字TF-IDF+SVD256。C2(2,640) と比較"
2026-08-29 22:13,mac,F(c-e5)' + 機能A・埋め込み列（e5-small）,2613.858,6.669,4466.849,28.47,0.8816,60000,5,42,"既存の埋め込みを API 経由で使う。D1(2,620) と比較"
2026-08-29 22:23,mac,F(c)' 機能A・埋め込み列（既定エンコーダ）,2599.38,8.026,4443.696,28.39,0.8828,60000,5,42,P2: 未知語にどちら側で着地するか
2026-08-29 22:25,mac,F(c-e5)' 機能A・埋め込み列（e5-small）,2621.258,8.699,4485.151,28.52,0.8806,60000,5,42,P2: API 経由の e5。D1 と同じ挙動になるはず
2026-08-29 22:29,mac,F(d)' 機能A・埋め込み列＋文字TF-IDF,2588.087,5.478,4424.769,28.3,0.8838,60000,5,42,P2: 併用（D4 に対応）。機能A の列に素の文字TF-IDF を足す
2026-08-30 00:03,mac,[全行] A2 構造化列のみ,3119.427,12.525,5112.154,31.66,0.8448,200374,5,42,"全行での下限（200,374行）"
2026-08-30 00:04,mac,[全行] B2 + 手書きルール正規化,2518.479,10.589,4369.227,27.01,0.8866,200374,5,42,"機能A が置き換えたい相手（200,374行）"
2026-08-30 00:07,mac,[全行] C2 + model の文字TF-IDF,2494.232,10.429,4228.227,27.13,0.8938,200374,5,42,"ルールを書かない従来手法（200,374行）"
2026-08-30 00:12,mac,[全行] F(c) + 機能A・埋め込み列,2455.748,5.866,4163.990,26.84,0.8970,200374,5,42,"unfold Feature（200,374行）"
2026-08-30 00:23,mac,[全行] F(d) + 機能A・埋め込み列＋文字TF-IDF,2443.961,6.982,4150.298,26.73,0.8977,200374,5,42,"併用。60,000行では 2,588 で最良だった（200,374行）"
2026-08-30 00:24,mac,F(c)-64 機能A・埋め込み列（SVD64次元）,2640.608,7.343,4506.013,28.58,0.8795,60000,5,42,"既定エンコーダの次元数を振る（60,000行）"
2026-08-30 00:25,mac,F(c)-128 機能A・埋め込み列（SVD128次元）,2614.220,16.532,4465.580,28.40,0.8816,60000,5,42,"既定エンコーダの次元数を振る（60,000行）"
2026-08-30 00:28,mac,F(c)-256 機能A・埋め込み列（SVD256次元）,2599.380,8.026,4443.696,28.39,0.8828,60000,5,42,"既定エンコーダの次元数を振る（60,000行）"
2026-08-30 00:33,mac,F(c)-512 機能A・埋め込み列（SVD512次元）,2587.169,6.510,4428.506,28.32,0.8836,60000,5,42,"既定エンコーダの次元数を振る（60,000行）"
2026-09-01 09:18,node,0  中央値,9287.158,89.886,13501.436,93.39,-0.0861,60000,5,42,予測しない場合の下限
2026-09-01 09:18,node,A1 線形回帰・構造化列,5010.885,50.622,7273.718,59.63,0.6847,60000,5,42,Ridge + one-hot。model を使わない従来手法の再現
2026-09-01 09:18,node,A2 LightGBM・構造化列,3229.936,12.887,5281.553,32.54,0.8337,60000,5,42,A1と同じ列。モデルを木に替えた効果
2026-09-01 09:18,node,B1 + model そのまま,2862.969,27.779,4832.286,29.62,0.8607,60000,5,42,"自由記述9,614水準をそのままカテゴリ扱い"
2026-09-01 09:18,node,B2 + model を手書きルールで正規化,2758.030,24.341,4702.802,28.97,0.8681,60000,5,42,"区切り記号以降を捨て先頭2語。5,142水準。シエンタの正規表現抽出に相当"
2026-09-01 09:18,node,C1 + model の単語TF-IDF,2757.476,26.256,4703.033,28.96,0.8681,60000,5,42,"min_df=5, max_features=300。ルールを書かずに語で持つ"
2026-09-01 09:19,node,C2 + model の文字TF-IDF,2619.035,22.391,4445.345,28.09,0.8821,60000,5,42,"char_wb 2-4gram, max_features=1000。表記ゆれを部分文字列で吸収"
2026-09-01 09:20,node,E  B2 + description の単語TF-IDF,2606.848,26.599,4461.711,26.64,0.8813,60000,5,42,"自由記述本体（平均2,972文字）を足した場合の上積み"
2026-09-01 09:20,node,D1 構造化列+model の埋め込み,2603.180,31.498,4439.071,27.93,0.8824,60000,5,42,★本命。B2(手書きルール)・C2(文字TF-IDF)と同じ土俵での比較
2026-09-01 09:21,node,D2 D1のPCA64次元版,2635.108,26.482,4477.489,28.13,0.8804,60000,5,42,384次元を64次元に圧縮。次元数が効いているかの確認
2026-09-01 09:21,node,D3 全部乗せ(model カテゴリ+埋め込み),2639.984,32.684,4487.062,28.32,0.8799,60000,5,42,model をカテゴリとしても埋め込みとしても入れた場合
2026-09-01 09:26,node,D4 埋め込み+文字TF-IDF,2586.039,32.896,4415.341,27.86,0.8837,60000,5,42,未知の model に強い文字TF-IDF と、既知に強い埋め込みの併用
