age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,blue-collar,married,secondary,no,1131,yes,yes,unknown,27,jun,148,5,-1,0,unknown,no
46,services,married,secondary,no,53,no,yes,cellular,28,jul,31,3,-1,0,unknown,no
38,technician,married,secondary,no,0,no,no,unknown,7,may,55,1,-1,0,unknown,no
43,technician,married,secondary,no,4056,no,no,cellular,4,feb,154,2,-1,0,unknown,no
50,blue-collar,married,secondary,no,325,yes,no,cellular,17,apr,150,1,-1,0,unknown,no
39,unknown,married,primary,no,2860,no,no,unknown,19,jun,133,1,-1,0,unknown,no
37,admin.,single,secondary,no,0,yes,no,unknown,29,may,147,4,-1,0,unknown,no
22,student,single,secondary,no,123,no,no,telephone,12,may,267,2,89,7,success,no
33,technician,married,secondary,no,4790,yes,no,cellular,20,apr,137,1,272,2,failure,no
56,retired,divorced,secondary,no,1886,yes,no,cellular,19,nov,682,1,-1,0,unknown,no
40,housemaid,married,secondary,no,4610,no,no,cellular,14,aug,154,2,-1,0,unknown,no
29,management,single,tertiary,no,2637,yes,no,cellular,18,may,179,3,-1,0,unknown,no
52,retired,married,unknown,no,293,no,no,unknown,11,jun,706,1,-1,0,unknown,yes
44,blue-collar,married,secondary,no,8666,no,no,telephone,6,apr,172,1,-1,0,unknown,no
40,blue-collar,married,primary,no,1841,yes,no,cellular,15,may,880,4,-1,0,unknown,yes
60,services,married,unknown,no,132,yes,no,unknown,15,may,29,1,-1,0,unknown,no
51,blue-collar,married,primary,no,51,no,no,unknown,27,may,121,2,-1,0,unknown,no
35,technician,married,secondary,no,4508,yes,no,cellular,18,nov,854,1,-1,0,unknown,yes
37,management,married,tertiary,no,9895,yes,no,cellular,20,nov,352,3,-1,0,unknown,no
36,blue-collar,married,primary,no,111,yes,no,unknown,23,may,163,3,-1,0,unknown,no
31,blue-collar,married,primary,no,68,yes,no,unknown,8,may,226,1,-1,0,unknown,no
28,blue-collar,single,tertiary,no,1984,yes,no,cellular,20,apr,147,1,-1,0,unknown,no
39,admin.,married,secondary,no,563,yes,no,cellular,4,may,190,3,-1,0,unknown,no
48,technician,married,secondary,no,568,yes,no,cellular,2,sep,378,2,386,1,success,yes
53,admin.,divorced,tertiary,no,493,yes,yes,cellular,17,nov,64,3,-1,0,unknown,no
26,entrepreneur,single,tertiary,no,725,no,no,cellular,5,feb,1916,2,189,29,other,yes
49,blue-collar,married,secondary,no,298,yes,no,cellular,3,feb,392,3,-1,0,unknown,no
35,admin.,divorced,secondary,no,951,yes,no,cellular,16,apr,567,2,-1,0,unknown,no
36,services,married,secondary,no,-302,yes,no,cellular,13,may,36,2,-1,0,unknown,no
36,technician,single,secondary,yes,0,no,yes,cellular,26,aug,109,14,-1,0,unknown,no
52,management,married,secondary,no,638,yes,no,cellular,23,jul,213,1,-1,0,unknown,no
42,admin.,single,primary,no,629,yes,no,unknown,29,may,164,3,-1,0,unknown,no
52,blue-collar,divorced,primary,no,196,yes,yes,unknown,3,jun,63,1,-1,0,unknown,no
29,services,married,secondary,no,0,yes,yes,cellular,6,may,315,1,281,15,other,no
33,technician,single,secondary,no,338,yes,no,cellular,29,jul,105,4,-1,0,unknown,no
32,management,single,secondary,no,160,yes,no,unknown,14,may,48,1,-1,0,unknown,no
28,blue-collar,married,secondary,no,196,yes,no,unknown,26,jun,176,7,-1,0,unknown,no
51,management,married,tertiary,no,4917,no,no,cellular,23,apr,113,1,-1,0,unknown,yes
28,unemployed,married,secondary,no,455,no,no,cellular,8,jul,286,1,-1,0,unknown,no
53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,no
32,self-employed,married,tertiary,no,210,yes,no,cellular,19,nov,268,1,-1,0,unknown,no
57,retired,married,secondary,no,4365,no,no,cellular,11,aug,491,1,-1,0,unknown,no
42,services,single,secondary,no,241,yes,no,cellular,5,may,704,2,-1,0,unknown,no
44,admin.,married,secondary,no,497,yes,no,cellular,3,feb,321,3,270,2,other,no
57,retired,married,primary,yes,-1480,yes,no,unknown,2,jun,319,5,-1,0,unknown,no
49,admin.,married,secondary,no,1632,no,no,unknown,6,jun,47,1,-1,0,unknown,no
32,housemaid,married,secondary,no,3469,no,no,cellular,7,aug,306,2,-1,0,unknown,no
35,self-employed,married,tertiary,no,8647,no,no,cellular,19,nov,140,2,-1,0,unknown,no
39,management,single,secondary,no,120,no,no,unknown,12,jun,66,1,-1,0,unknown,no
33,admin.,married,secondary,no,1737,no,no,cellular,30,apr,524,2,-1,0,unknown,no
42,admin.,divorced,secondary,no,687,yes,yes,unknown,23,may,229,1,-1,0,unknown,no
49,entrepreneur,married,secondary,no,687,no,no,cellular,18,aug,65,6,-1,0,unknown,no
35,blue-collar,married,secondary,no,11,no,no,unknown,3,jun,32,3,-1,0,unknown,no
36,blue-collar,single,secondary,no,275,yes,no,cellular,17,apr,89,1,332,2,failure,no
53,management,divorced,tertiary,no,6649,yes,no,cellular,7,jul,83,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,15801,yes,no,unknown,14,may,456,9,-1,0,unknown,no
51,management,married,unknown,no,6482,yes,no,unknown,19,may,182,2,-1,0,unknown,no
47,blue-collar,divorced,secondary,no,1480,yes,no,cellular,15,may,144,1,365,1,failure,no
51,management,married,secondary,no,3180,yes,no,cellular,9,jul,384,1,-1,0,unknown,no
52,management,married,primary,no,98,yes,no,cellular,17,apr,402,1,345,2,failure,no
28,technician,single,secondary,no,3,yes,no,cellular,14,may,190,2,-1,0,unknown,no
64,retired,married,tertiary,no,846,no,no,cellular,14,aug,107,3,-1,0,unknown,no
30,management,single,tertiary,no,63,yes,no,cellular,20,apr,260,1,320,1,other,no
46,housemaid,married,primary,no,3512,no,no,cellular,30,oct,175,1,197,1,failure,yes
57,services,married,secondary,no,2658,yes,no,cellular,21,nov,107,1,190,1,failure,no
38,unemployed,married,secondary,no,1604,no,no,unknown,20,jun,1276,1,-1,0,unknown,no
37,housemaid,married,secondary,no,7433,no,yes,cellular,5,feb,630,3,-1,0,unknown,yes
42,blue-collar,divorced,primary,no,1563,yes,no,cellular,14,may,164,2,364,1,failure,no
43,technician,married,primary,no,321,yes,no,cellular,6,feb,12,5,268,6,other,no
45,admin.,married,secondary,no,3006,no,no,cellular,29,apr,388,2,-1,0,unknown,yes
72,retired,married,primary,no,4657,no,no,cellular,27,sep,132,4,94,16,other,no
30,technician,single,tertiary,no,0,no,no,cellular,22,aug,121,2,-1,0,unknown,no
52,technician,married,primary,no,-50,yes,no,cellular,15,may,129,2,-1,0,unknown,no
51,admin.,single,secondary,no,2685,no,no,unknown,20,jun,78,2,-1,0,unknown,no
37,management,married,tertiary,no,1300,yes,no,cellular,16,apr,211,1,-1,0,unknown,no
49,blue-collar,married,secondary,no,3728,yes,no,cellular,11,jul,1060,2,-1,0,unknown,yes
45,blue-collar,married,secondary,no,-183,yes,yes,cellular,28,aug,8,13,-1,0,unknown,no
36,technician,single,secondary,no,18,no,no,cellular,21,aug,67,2,-1,0,unknown,no
32,blue-collar,single,primary,no,216,yes,no,cellular,7,may,87,2,351,1,success,no
57,management,divorced,tertiary,no,461,yes,no,unknown,21,may,142,10,-1,0,unknown,no
84,retired,divorced,primary,no,2619,no,no,telephone,8,feb,145,2,115,2,failure,no
44,management,single,secondary,no,421,no,yes,cellular,5,aug,307,1,-1,0,unknown,no
57,retired,married,secondary,no,519,yes,no,unknown,3,jun,393,3,-1,0,unknown,no
43,self-employed,married,tertiary,yes,310,yes,no,cellular,11,may,84,7,-1,0,unknown,no
36,admin.,married,secondary,no,419,yes,no,telephone,12,may,291,5,-1,0,unknown,no
34,management,married,tertiary,no,697,no,no,cellular,5,aug,166,1,-1,0,unknown,no
51,management,divorced,tertiary,no,2011,yes,no,cellular,20,nov,118,3,-1,0,unknown,no
37,technician,married,secondary,no,180,no,no,cellular,8,aug,215,2,-1,0,unknown,no
42,services,divorced,secondary,no,444,no,no,cellular,21,nov,171,1,-1,0,unknown,no
47,management,married,tertiary,no,3505,no,no,cellular,17,nov,434,2,-1,0,unknown,yes
41,management,married,tertiary,no,2646,no,no,cellular,30,jul,81,2,-1,0,unknown,no
29,services,married,secondary,no,1135,yes,no,cellular,17,feb,323,1,-1,0,unknown,yes
30,technician,single,tertiary,no,1271,yes,no,cellular,26,aug,303,5,-1,0,unknown,no
27,technician,married,secondary,no,2183,yes,yes,unknown,21,may,857,1,-1,0,unknown,yes
37,services,married,secondary,no,1140,yes,no,cellular,14,may,33,3,-1,0,unknown,no
54,blue-collar,divorced,primary,no,10374,yes,no,cellular,20,nov,283,2,189,2,other,no
40,self-employed,married,secondary,no,0,no,no,unknown,19,jun,61,1,-1,0,unknown,no
33,technician,single,tertiary,no,469,no,no,cellular,26,aug,158,9,-1,0,unknown,no
34,unemployed,single,tertiary,no,906,yes,no,unknown,27,may,101,3,-1,0,unknown,no
53,blue-collar,divorced,secondary,no,1912,yes,yes,cellular,7,apr,210,1,253,2,failure,no
33,services,married,secondary,no,931,yes,no,unknown,29,may,263,3,-1,0,unknown,no
25,self-employed,single,tertiary,no,931,yes,no,cellular,11,may,263,2,348,4,failure,no
33,blue-collar,married,primary,no,1903,yes,no,cellular,21,nov,337,2,182,3,failure,no
44,services,married,secondary,no,1326,no,no,cellular,30,jul,96,1,-1,0,unknown,no
30,admin.,married,secondary,no,2074,no,no,cellular,19,nov,98,1,-1,0,unknown,no
19,student,single,secondary,no,302,no,no,cellular,16,jul,205,1,-1,0,unknown,yes
31,technician,single,unknown,no,694,yes,no,unknown,6,jun,431,2,-1,0,unknown,no
34,blue-collar,married,secondary,no,246,yes,no,cellular,22,jul,532,1,-1,0,unknown,no
28,admin.,single,secondary,no,-39,no,yes,cellular,18,jul,64,2,-1,0,unknown,no
52,services,married,primary,no,1625,no,no,cellular,8,aug,459,2,-1,0,unknown,yes
79,retired,married,secondary,no,668,no,no,telephone,2,jul,363,1,-1,0,unknown,yes
38,management,married,tertiary,no,1101,yes,no,cellular,9,mar,78,2,120,1,failure,no
43,blue-collar,married,primary,no,108,yes,yes,unknown,15,may,420,4,-1,0,unknown,no
51,entrepreneur,married,tertiary,no,83,no,no,cellular,20,apr,267,2,-1,0,unknown,yes
29,services,married,secondary,no,3,yes,no,cellular,10,jul,183,1,-1,0,unknown,no
49,management,married,tertiary,no,865,no,no,cellular,28,jan,280,1,-1,0,unknown,no
36,blue-collar,married,secondary,no,537,no,yes,cellular,7,jul,206,6,-1,0,unknown,no
53,admin.,single,secondary,no,2398,yes,no,cellular,3,feb,108,1,92,1,success,no
33,management,married,tertiary,no,310,no,no,cellular,29,aug,179,2,-1,0,unknown,no
44,management,divorced,primary,no,641,yes,no,cellular,5,feb,79,2,269,3,other,no
40,admin.,divorced,secondary,no,221,yes,no,unknown,13,may,154,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,2074,no,no,cellular,6,feb,183,4,-1,0,unknown,no
33,self-employed,single,tertiary,no,544,yes,no,cellular,7,may,155,1,-1,0,unknown,no
29,blue-collar,married,secondary,no,-312,yes,yes,cellular,14,may,130,2,-1,0,unknown,no
27,management,single,secondary,no,967,yes,no,unknown,21,may,162,1,-1,0,unknown,no
37,blue-collar,single,secondary,no,5742,yes,yes,cellular,30,jan,588,1,-1,0,unknown,no
50,blue-collar,married,secondary,no,2087,yes,no,unknown,14,may,371,1,-1,0,unknown,no
45,technician,married,secondary,no,-149,yes,no,cellular,14,jul,287,2,-1,0,unknown,no
32,technician,single,tertiary,no,930,no,no,cellular,27,aug,85,7,-1,0,unknown,no
31,management,single,tertiary,no,2592,no,no,cellular,12,may,349,2,174,1,failure,no
26,blue-collar,single,secondary,no,114,no,yes,cellular,29,jul,361,4,-1,0,unknown,no
31,unemployed,married,primary,no,3837,no,no,cellular,20,nov,340,1,-1,0,unknown,no
46,unemployed,divorced,secondary,no,41,yes,no,unknown,12,may,249,4,-1,0,unknown,no
49,admin.,married,secondary,no,2,no,no,cellular,29,jul,246,4,-1,0,unknown,no
59,management,married,tertiary,no,3165,yes,no,unknown,12,jun,278,2,-1,0,unknown,no
28,services,single,secondary,no,1950,no,no,cellular,9,jul,147,1,-1,0,unknown,no
43,services,married,primary,no,-88,yes,yes,cellular,21,nov,94,2,-1,0,unknown,no
68,retired,married,primary,no,0,no,no,telephone,15,jan,814,1,-1,0,unknown,no
38,entrepreneur,single,tertiary,yes,-38,yes,no,cellular,18,may,119,4,-1,0,unknown,no
39,management,single,tertiary,no,2357,yes,no,cellular,20,apr,64,3,273,1,failure,no
55,services,married,secondary,no,-31,no,yes,cellular,13,aug,81,2,-1,0,unknown,no
38,entrepreneur,married,primary,no,666,yes,no,unknown,20,may,1452,10,-1,0,unknown,no
42,management,married,tertiary,no,843,no,yes,cellular,15,jul,226,3,-1,0,unknown,no
51,blue-collar,divorced,primary,no,602,yes,no,cellular,11,may,347,1,284,2,failure,no
30,unemployed,married,primary,no,1787,no,no,cellular,19,oct,79,1,-1,0,unknown,no
33,blue-collar,divorced,primary,no,176,yes,no,unknown,8,may,622,1,-1,0,unknown,no
30,services,single,primary,yes,81,yes,no,telephone,5,feb,37,1,-1,0,unknown,no
52,management,married,tertiary,no,23552,yes,no,cellular,12,may,507,1,-1,0,unknown,no
35,self-employed,married,secondary,no,670,no,no,cellular,9,jul,378,1,-1,0,unknown,no
27,admin.,married,secondary,no,0,yes,yes,cellular,18,may,157,5,-1,0,unknown,no
33,admin.,single,secondary,no,673,yes,no,unknown,14,may,199,2,-1,0,unknown,no
35,housemaid,married,primary,no,77,no,no,cellular,8,aug,191,1,-1,0,unknown,no
29,blue-collar,single,primary,no,722,yes,no,cellular,15,may,78,1,359,1,failure,no
33,blue-collar,married,secondary,no,2366,yes,no,cellular,11,may,249,1,356,2,failure,no
38,blue-collar,married,primary,no,-459,yes,yes,cellular,19,nov,219,2,-1,0,unknown,no
45,management,married,tertiary,yes,-1655,yes,no,unknown,28,may,333,2,-1,0,unknown,no
44,management,married,tertiary,no,368,no,no,cellular,9,jul,73,3,-1,0,unknown,no
41,unemployed,single,tertiary,no,79,no,no,telephone,9,nov,394,1,390,2,success,yes
58,admin.,married,secondary,no,821,yes,yes,telephone,14,jul,83,2,-1,0,unknown,no
40,blue-collar,married,primary,no,-35,yes,no,cellular,18,may,194,3,-1,0,unknown,no
26,student,single,secondary,no,119,no,no,cellular,3,feb,247,3,-1,0,unknown,no
51,self-employed,divorced,tertiary,no,5244,no,no,unknown,17,jun,266,2,-1,0,unknown,no
32,services,married,secondary,no,3268,no,no,cellular,15,may,147,1,-1,0,unknown,no
46,management,single,tertiary,no,502,no,no,cellular,25,jul,18,2,-1,0,unknown,no
38,technician,married,secondary,no,0,yes,no,cellular,4,aug,71,1,-1,0,unknown,no
36,management,married,tertiary,no,9324,yes,no,cellular,30,mar,138,8,-1,0,unknown,no
34,blue-collar,single,secondary,no,53,yes,yes,unknown,5,may,346,1,-1,0,unknown,no
22,student,single,secondary,no,948,no,no,telephone,25,feb,169,1,191,3,success,yes
51,retired,married,secondary,no,806,no,no,unknown,20,jun,32,1,-1,0,unknown,no
27,admin.,married,secondary,no,710,yes,yes,cellular,6,may,653,1,334,2,success,yes
56,technician,married,primary,no,284,no,no,cellular,4,feb,177,1,197,9,failure,no
58,management,married,tertiary,no,0,no,no,cellular,30,jul,120,2,-1,0,unknown,no
32,services,single,secondary,no,124,yes,no,cellular,6,feb,202,3,9,5,other,no
46,blue-collar,married,primary,no,91,yes,no,cellular,6,may,29,1,356,2,failure,no
36,blue-collar,single,secondary,no,2596,no,no,unknown,18,jun,60,6,-1,0,unknown,no
49,housemaid,married,tertiary,no,50,yes,yes,cellular,29,jan,149,1,-1,0,unknown,no
27,technician,single,secondary,no,643,no,no,telephone,14,oct,301,1,93,1,success,yes
34,housemaid,married,secondary,no,520,yes,no,cellular,3,feb,22,6,-1,0,unknown,no
40,blue-collar,married,secondary,no,6767,yes,no,cellular,20,nov,97,2,-1,0,unknown,no
51,management,married,secondary,no,2216,yes,yes,unknown,16,jun,95,8,-1,0,unknown,no
34,blue-collar,single,secondary,no,855,yes,no,cellular,16,jul,578,1,-1,0,unknown,yes
27,admin.,single,secondary,no,295,yes,no,unknown,3,jun,148,13,-1,0,unknown,no
42,self-employed,married,tertiary,no,6383,no,no,cellular,27,aug,111,5,-1,0,unknown,no
52,blue-collar,divorced,primary,no,3990,no,no,cellular,19,nov,1548,1,153,1,other,no
51,entrepreneur,married,tertiary,no,36935,yes,no,cellular,21,nov,41,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,-40,yes,no,unknown,23,may,227,1,-1,0,unknown,no
43,management,single,tertiary,no,483,no,no,cellular,19,aug,950,6,-1,0,unknown,yes
45,blue-collar,married,unknown,no,419,no,no,unknown,5,jun,420,1,-1,0,unknown,no
29,unemployed,single,primary,no,1374,no,no,cellular,17,nov,309,3,208,4,success,yes
54,management,divorced,tertiary,no,7010,no,no,cellular,11,mar,275,2,-1,0,unknown,no
27,management,single,secondary,no,145,yes,no,cellular,5,may,121,4,89,3,failure,no
32,management,single,tertiary,no,23,no,no,cellular,22,may,137,2,-1,0,unknown,no
33,technician,single,secondary,no,-96,no,no,cellular,29,jan,213,4,-1,0,unknown,no
41,blue-collar,single,primary,no,74,no,no,unknown,9,jul,193,4,-1,0,unknown,no
29,technician,single,secondary,no,825,no,no,cellular,25,jun,472,2,-1,0,unknown,yes
51,management,married,primary,no,192,no,no,unknown,18,jun,129,3,-1,0,unknown,no
25,admin.,single,secondary,no,768,yes,no,unknown,13,may,203,1,-1,0,unknown,no
41,technician,single,secondary,no,0,yes,yes,unknown,19,may,162,1,-1,0,unknown,no
31,entrepreneur,single,tertiary,no,46,yes,no,cellular,5,feb,90,1,-1,0,unknown,no
47,technician,divorced,secondary,no,47,no,yes,unknown,1,jul,224,2,-1,0,unknown,no
50,unemployed,married,secondary,no,1772,no,no,cellular,29,jul,206,4,-1,0,unknown,no
60,retired,divorced,tertiary,no,380,no,no,cellular,21,jul,219,1,-1,0,unknown,no
37,admin.,single,secondary,no,515,yes,no,cellular,20,apr,59,1,-1,0,unknown,no
43,blue-collar,married,secondary,no,1324,yes,no,telephone,12,may,179,5,-1,0,unknown,no
30,admin.,married,secondary,no,2174,yes,no,cellular,9,feb,191,1,-1,0,unknown,no
48,technician,single,secondary,no,329,no,no,cellular,23,jul,711,1,-1,0,unknown,no
36,management,married,tertiary,no,495,no,no,cellular,12,mar,213,3,182,6,success,yes
39,technician,single,secondary,no,0,yes,yes,cellular,5,feb,95,4,-1,0,unknown,no
31,blue-collar,married,secondary,no,1406,yes,yes,cellular,13,apr,1091,2,-1,0,unknown,yes
48,technician,married,secondary,no,0,yes,no,cellular,21,jul,112,1,-1,0,unknown,no
61,retired,divorced,secondary,no,927,no,no,cellular,30,apr,427,3,-1,0,unknown,yes
31,technician,single,tertiary,no,438,yes,no,cellular,20,nov,165,1,100,2,failure,no
42,admin.,single,secondary,no,4343,no,no,cellular,31,jul,245,4,-1,0,unknown,no
31,management,married,tertiary,no,527,yes,yes,cellular,15,may,98,2,359,1,failure,no
24,services,married,secondary,no,1354,yes,yes,cellular,18,may,239,2,-1,0,unknown,no
58,blue-collar,married,secondary,no,602,yes,no,cellular,13,may,201,1,-1,0,unknown,no
36,blue-collar,married,secondary,no,1409,no,no,unknown,17,jun,235,2,-1,0,unknown,no
36,blue-collar,married,secondary,no,2848,yes,no,cellular,20,nov,265,3,-1,0,unknown,no
35,technician,married,secondary,no,-195,no,no,cellular,31,jul,309,4,-1,0,unknown,no
36,admin.,married,tertiary,no,0,yes,no,cellular,18,jul,837,8,-1,0,unknown,no
77,retired,married,secondary,no,9601,no,no,telephone,27,mar,515,1,-1,0,unknown,yes
53,management,married,tertiary,no,-388,yes,no,cellular,14,may,111,3,356,1,other,no
63,retired,married,secondary,no,415,yes,no,cellular,7,oct,323,1,-1,0,unknown,no
38,services,single,primary,no,3715,yes,no,telephone,13,may,41,2,327,17,failure,no
41,technician,single,tertiary,no,6029,yes,no,unknown,14,may,254,2,-1,0,unknown,no
56,admin.,married,secondary,no,346,yes,yes,unknown,30,may,46,3,-1,0,unknown,no
48,management,married,tertiary,no,2,no,no,cellular,15,sep,103,1,91,2,failure,no
38,technician,divorced,secondary,no,276,no,no,cellular,18,aug,92,14,-1,0,unknown,no
34,blue-collar,married,secondary,no,405,yes,no,unknown,21,may,103,1,-1,0,unknown,no
37,self-employed,married,secondary,no,119,no,no,cellular,25,aug,68,4,-1,0,unknown,no
35,blue-collar,married,primary,no,208,yes,no,unknown,23,may,247,3,-1,0,unknown,no
32,technician,married,secondary,no,908,yes,no,unknown,20,may,64,1,-1,0,unknown,no
40,technician,single,secondary,no,287,yes,no,cellular,8,may,69,1,298,3,failure,no
27,student,single,secondary,no,106,yes,no,telephone,10,jul,127,1,-1,0,unknown,no
24,management,single,secondary,no,653,yes,no,unknown,27,jun,247,3,-1,0,unknown,no
47,housemaid,married,primary,no,275,yes,no,cellular,14,may,261,3,-1,0,unknown,no
26,blue-collar,single,secondary,no,-204,yes,no,unknown,13,may,609,2,-1,0,unknown,no
37,technician,married,tertiary,no,4596,yes,no,cellular,7,may,218,2,211,4,success,no
46,management,married,tertiary,no,4301,yes,yes,cellular,18,nov,50,1,183,2,failure,no
45,technician,divorced,secondary,no,5862,yes,no,cellular,18,nov,352,1,110,3,other,no
31,admin.,single,tertiary,no,383,no,yes,cellular,6,feb,119,1,214,1,failure,no
49,management,married,tertiary,no,223,no,no,cellular,28,aug,22,22,-1,0,unknown,no
29,blue-collar,married,secondary,no,314,yes,yes,cellular,17,apr,357,1,-1,0,unknown,no
37,technician,single,tertiary,no,971,no,no,cellular,19,aug,120,6,-1,0,unknown,no
43,blue-collar,married,primary,no,46,yes,no,cellular,15,may,38,7,332,6,failure,no
39,management,single,tertiary,no,406,yes,no,unknown,7,may,68,1,-1,0,unknown,no
28,blue-collar,married,secondary,no,0,yes,yes,unknown,3,jun,210,1,-1,0,unknown,no
40,blue-collar,married,primary,no,143,no,yes,cellular,8,jul,167,2,-1,0,unknown,no
31,services,married,secondary,no,11512,yes,no,unknown,21,may,179,1,-1,0,unknown,no
34,management,married,tertiary,no,1433,no,no,cellular,20,nov,111,3,104,3,failure,no
52,management,married,tertiary,no,3737,yes,no,unknown,19,jun,574,4,-1,0,unknown,no
28,blue-collar,married,primary,no,206,yes,no,cellular,14,may,155,2,-1,0,unknown,no
31,services,married,secondary,no,1801,yes,no,telephone,6,feb,136,1,274,2,failure,no
42,admin.,divorced,secondary,no,-67,no,no,cellular,21,nov,137,2,-1,0,unknown,no
48,admin.,married,secondary,no,387,no,yes,telephone,20,nov,761,3,-1,0,unknown,no
47,technician,divorced,tertiary,no,8,no,no,cellular,29,aug,62,2,-1,0,unknown,no
30,technician,single,secondary,no,-127,no,no,cellular,7,aug,76,3,-1,0,unknown,no
43,management,divorced,unknown,no,7702,no,no,cellular,22,may,460,1,95,2,success,yes
33,blue-collar,married,primary,no,309,yes,no,cellular,15,may,42,4,-1,0,unknown,no
42,technician,married,secondary,no,2152,no,no,cellular,1,oct,161,1,92,6,failure,no
47,management,married,secondary,no,177,yes,no,cellular,14,may,95,3,-1,0,unknown,no
30,blue-collar,married,primary,no,-518,yes,yes,unknown,28,may,244,6,-1,0,unknown,no
30,services,married,tertiary,no,81,no,no,cellular,22,apr,145,1,-1,0,unknown,yes
33,management,married,tertiary,no,415,no,no,cellular,4,may,75,5,167,1,other,no
38,technician,married,secondary,no,6728,no,no,cellular,25,nov,232,1,96,4,success,yes
25,blue-collar,married,secondary,no,-507,yes,yes,unknown,4,jun,404,2,-1,0,unknown,no
55,blue-collar,married,primary,no,1373,no,no,unknown,9,may,1087,2,-1,0,unknown,no
46,blue-collar,married,secondary,no,1603,no,no,cellular,30,apr,279,1,-1,0,unknown,no
46,technician,married,secondary,no,487,no,no,cellular,4,aug,432,1,-1,0,unknown,no
39,services,single,secondary,no,158,yes,no,cellular,21,nov,183,1,168,2,failure,no
46,technician,married,secondary,yes,4,no,yes,cellular,9,jul,78,1,-1,0,unknown,no
58,retired,single,secondary,no,1640,no,yes,cellular,4,feb,72,6,274,4,failure,no
47,services,married,secondary,no,-98,yes,yes,telephone,13,may,211,1,-1,0,unknown,no
37,services,married,secondary,no,523,yes,no,telephone,19,nov,21,1,-1,0,unknown,no
31,blue-collar,single,secondary,no,1882,no,no,cellular,7,may,529,2,-1,0,unknown,no
69,retired,married,primary,no,2346,no,no,cellular,11,feb,354,2,-1,0,unknown,yes
30,blue-collar,married,secondary,no,2,yes,no,unknown,15,may,1000,1,-1,0,unknown,no
40,management,married,primary,no,535,yes,no,telephone,5,may,11,6,-1,0,unknown,no
37,technician,married,tertiary,no,905,yes,no,cellular,25,aug,111,7,-1,0,unknown,no
77,management,married,unknown,no,1780,yes,no,cellular,23,oct,221,2,183,3,success,yes
36,management,married,tertiary,no,2813,yes,no,cellular,7,aug,88,3,-1,0,unknown,no
27,technician,single,secondary,no,-646,yes,no,cellular,25,jul,135,8,-1,0,unknown,no
51,technician,married,primary,no,223,yes,no,unknown,5,jun,131,3,-1,0,unknown,no
32,management,married,tertiary,no,3442,no,no,cellular,18,nov,475,1,-1,0,unknown,no
34,blue-collar,married,primary,no,275,yes,no,unknown,30,may,170,1,-1,0,unknown,no
46,services,married,primary,no,43,yes,no,unknown,3,jun,86,5,-1,0,unknown,no
31,unemployed,married,secondary,no,20,no,no,cellular,28,jan,304,1,71,1,failure,no
34,management,single,tertiary,no,1058,yes,no,unknown,28,may,864,2,-1,0,unknown,yes
70,retired,married,primary,no,7781,no,no,cellular,3,jul,222,1,-1,0,unknown,no
38,management,single,secondary,no,53,no,no,unknown,9,jun,280,1,-1,0,unknown,no
