IDLink,Title,Headline,Source,Topic,PublishDate,SentimentTitle,SentimentHeadline,Facebook,GooglePlus,LinkedIn
46297,"China's Economy: Powerhouse, Menace, or the Next Japan","Featuring: Arthur Kroeber Author, China's Economy: What Everyone Needs to Know (Oxford, April 2016); Founder, Gavekal Dragonomics read more ",Center for Strategic and International Studies,economy,2016-04-29 17:08:00,0.0441941738241592,0.0420663061955886,0,0,0
14356,Ag tech could boost Tri-City economy,"Alexis Holzer, associate director of economic development for WSU, attended the Oregon version and decided the topic was ripe for study at",Tri-City Herald,economy,2016-01-06 01:00:25,0.0944911182523068,0,1,0,26
5279,Climate talks: Why Bill Gates expects to pledge $1 billion for 'clean energy',"Microsoft co-founder Bill Gates is expected to announce $1 billion, and perhaps more, in support of clean-energy technologies while in Paris for the global climate summit. ",The Christian Science Monitor,microsoft,2015-11-28 08:39:00,0.0360843918243516,-0.173205080756888,53,4,4
101601,"Obama's Drone Revamp Gives Military Bigger Responsibility, Keeps ...","WASHINGTON""""""A long promised plan by President Barack Obama to shift control of U.S. drone campaigns around the world gives the U.S",Wall Street Journal,obama,2016-06-16 15:42:43,0,0.0191366386154936,64,8,35
26073,Spending in the economy slowed in January,Economy-wide spending slowed in January after solid growth in 2015 according to the latest Commonwealth Bank Business Sales Indicator,The Sunshine Coast Daily,economy,2016-02-21 21:20:26,0,-0.0358462084172753,0,0,0
49921,Advertising and bloatware is about to invade your Start Menu in Windows 10,"Microsoft has done a tremendous job with Windows 10 in so many ways, which is even more impressive when you consider that the company's prior release was nothing short of a disaster. Microsoft knew it had fallen behind in mobile, so it tried to make Windows 8 as tablet-friendly as it could. What the company seemingly forgot, however, was that most people use Windows on a laptop or desktop, and a ",BGR News via Yahoo! News,microsoft,2016-05-16 07:29:00,-0.0180421959121758,-0.109429819343505,27,0,0
47137,Indonesia Growth Fails to Pick Up in Setback to Jokowi Reforms,"Indonesia’s economy grew less than analysts expected in the first quarter, a setback to President Joko Widodo’s efforts to rejuvenate growth on the back of increased government spending. ",Bloomberg via Yahoo! Finance,economy,2016-05-03 21:08:00,-0.160177901806937,-0.0171163299220364,0,0,0
41685,"Microsoft Surface phone expected to launch by 2017, will come in 3 variants: report","Microsoft's Surface Phone, which the company's CMO Chris Capossella referred to as a breakthrough device, will launch in 2017, according to a report. The report on Windows Central blog cites sources from Microsoft, and says that the phone's launch the Surface Phone will come in three different variants based on pricing and markets. It also says that the Surface Phone will also mean an end for ",The Indian Express via Yahoo! India News,microsoft,2016-04-12 02:39:00,-0.040093768693724,0.091303346294834,0,0,0
17971,The Economy in 2016,"As a young person, I have a great interest in understanding how the economy performs and what drives movements in the markets. Every year I",Huffington Post,economy,2016-01-19 19:00:19,0,-0.3775,3,0,0
54593,Microsoft won't build driverless cars like Google and Apple,"Microsoft will not be building a driverless car, it has confirmed - but that doesn't mean it won't be heavily involved in the market. With Google",TrustedReviews,microsoft,2016-06-06 10:40:13,-0.208333333333333,-0.1,0,0,2
53835,Our zeal for antibiotics in agriculture could become an economic ...,A display of MRSA bacteria strain inside a petri dish containing agar jelly for bacterial culture in a microbiological laboratory. MRSA is a,PBS NewsHour,economy,2016-06-02 18:00:10,0.0790569415042095,-0.0293223394767761,54,2,0
25533,Which Oscar 2016 Nominee Do You Look Like? New Microsoft Site ...,"RTR4646Y Actress Kate Winslet, who has been nominated for an Academy Award for her role in the movie &quot;Steve Jobs.&quot; A leaked Microsoft",International Business Times,microsoft,2016-02-18 20:01:33,0.138349647632367,-0.024514516892273,2,0,0
104639,"As President Obama makes history, Hillary Clinton benefits","Hillary Clinton has plenty of staffers, surrogates, and supporters to sing her praises and vouch for her presidential qualifications, and they're",MSNBC,obama,2016-07-06 14:00:13,-0.0441941738241592,0.027277236279499,302,0,0
11776,IMF: Iran's economy will suffer until sanctions lifted,"Iran's economy will continue to suffer until international sanctions are lifted and the country is able to significantly lift oil exports, the International",Al-Arabiya,economy,2015-12-22 00:00:00,-0.0758666650648065,0.0556038437485533,-1,-1,-1
406,Bryan Gould: Unemployment rate is proof economy is failing,The unemployment figure announced last week at 6 per cent and rising is a disgrace - not only a personal tragedy for individuals and families,New Zealand Herald,economy,2015-11-10 00:56:13,-0.125,0.0962931148249687,87,0,0
45808,"Microsoft, Alphabet Disaapoints Nasdaq; Apple's Report Eyed To ...",Tech giants Microsoft (MSFT) and Alphabet (GOOGL) Google's parent company equally disappointed Wall Street after scoring double whammy,University Herald,microsoft,2016-04-28 12:22:32,0,-0.360919086230634,8,0,0
20423,"Cloud, Surface are the highlights of Microsoft's $23.8 billion quarter","Microsoft posted revenue of $23.8 billion in the second quarter of its 2016 financial year, down 10 percent from the same quarter a year ago.",Ars Technica,microsoft,2016-01-28 23:09:28,0.0164930555555557,-0.197821393847667,46,31,20
42117,America itself is emerging as tax haven,America is emerging as a top tax haven alongside the likes the Cayman Islands and Panama. ,ABC 15 Phoenix,economy,2016-04-06 11:31:00,-0.0472455591261534,-0.09375,-1,-1,-1
64030,White House fence jumper who put Obama family Thanksgiving on ...,The man who scaled the White House fence draped in an American flag and disrupted the Obamas' Thanksgiving celebrations Thursday has,Daily Mail,obama,2015-11-27 18:04:37,-0.0768609153513149,0.0045462060465831,9,0,0
80127,How should Obama pick a replacement for Scalia?,"Erwin Chemerinsky, the dean of the School of Law at the University of California, Irvine, is the author of &quot;The Case Against the Supreme Court.&quot;.",CNN,obama,2016-02-25 20:55:03,0,0.168393828513641,16,2,0
40800,Transdniestria asks Russia for financial assistance,"TIRASPOL, April 8. /TASS/. Authorities of Moldova's unrecognized Transdniestria have addressed Russia for financial assistance to settled",TASS,economy,2016-04-08 14:41:17,0.204124145231932,0.046875,5,1,1
30946,Sri Lanka's credit- card economy,That the economy is in dire straits is no secret anymore; that the country is on an economic downturn is also evident and cannot be hidden from,The Sunday Times Sri Lanka,economy,2016-03-12 20:00:32,0.153729673453111,-0.134314125123976,2,0,0
13439,Slow year ahead amid sluggish demand,"Manufacturing, which makes up a fifth of the Singapore economy, shrank about 5 per cent last year over levels the year before - it was the main",The Straits Times,economy,2016-01-02 21:40:21,-0.143170407419618,0.0416666666666668,24,0,0
83859,Boris Johnson blasted by Sir Winston Churchill's grandson over ...,Sir Winston Churchill's grandson blasted Boris Johnson today after the Mayor of London launched a blistering attack on Barack Obama and,Daily Mail,obama,2016-03-15 11:29:05,-0.166666666666667,0,1049,10,51
95374,Obama invites Pakistani tech entrepreneur to address global summit,"P@SHA President Jehan Ara who has been invited by The White House at 7th Annual Global Entrepreneurship Summit at Stanford University,",The Express Tribune,obama,2016-05-08 05:55:14,0,-0.145094931964235,81,0,27
32401,Microsoft not planning a second wave release for the Windows 10 ...,"Microsoft released Windows 10 Mobile for some Windows Phone 8.1 devices just yesterday. In case you don't know, Windows 10 Mobile is",MSPoweruser.com,microsoft,2016-03-18 16:40:37,-0.0115291373026972,-0.00127453185483644,35,0,1
77663,Palestinian leader likely to visit India,"A senior leader who is seen as the frontrunner to succeed President Mahmoud Abbas of Palestine is likely to visit India next week.Mohammad Mustafa, CEO of the Palestine Investment Fund (PIF), will pr ",The Hindu,palestine,2016-02-12 13:15:00,-0.114819831692961,-0.112545946499771,3,0,0
53399,Microsoft opens Windows Holographic to partners for a new era of mixed reality,"TAIPEI, Taiwan, June 1, 2016 /PRNewswire/ -- Wednesday at Computex 2016, Microsoft Corp. invited its Windows 10 hardware partners to create virtual reality (VR) devices, augmented reality devices and everything in between with Windows Holographic, the platform that powers Microsoft HoloLens. In opening up Windows Holographic to partners, Microsoft shared its vision for mixed reality — a world ",PR Newswire via Yahoo! Finance,microsoft,2016-06-01 00:01:00,-0.283128225156627,0.0101117223270225,0,0,0
42590,"China's economy slows to 6.7 percent, lowest since crisis","HONG KONG """""" Official data shows that China's economic growth has slowed in the first quarter to 6.7 percent compared with the previous year.",Fox News,economy,2016-04-15 05:21:18,-0.176776695296637,-0.0333126119305641,0,0,0
83240,The Middle East Is Unravelingand Obama Offers Words,"Jeffrey Goldberg has conducted the most extensive autopsy of President Obama's foreign policy""""""and revealed that it is based on the doctrine",The Atlantic,obama,2016-03-11 14:35:05,-0.0833333333333333,0,186,2,13
72699,L'Algrie vient de verser 26 millions de dollars  la Palestine,"Dimanche, l'Alg""""rie a vers"""" une aide de 26 millions de dollars """" la Palestine en guise d'aide et de soutien. La d""""marche a """"t"""" officiellement",Katibn,palestine,2016-01-15 00:25:11,0,-0.1,645,80,0
4104,"Argentina ETF Lower: Economic Challenges, Creditor Agreement ...",The key economic challenges facing Macri are to boost reserves; tackle the widening fiscal deficit (which is likely to reach around 7% of GDP by,Barron's (blog),economy,2015-11-23 15:40:15,-0.0708683386892301,-0.044652156769485,2,0,0
945,"Xi's attendance at G20, APEC meetings to promote global economic ...","BEIJING, Nov. 11 (Xinhua) -- Chinese President Xi Jinping's scheduled attendance at an upcoming G20 summit and the Asia-Pacific Economic",Xinhua,economy,2015-11-11 08:20:13,0,0.0286769667338202,5,0,0
20939,digital economy,The digital economy is the worldwide network of economic activities enabled by information and communications technologies (ICT). It can also be defined more,TechTarget,economy,2016-01-30 17:56:20,0.0883883476483184,-0.078192905271403,1,0,1
41834,Oil price plunge drops Saudi Arabia's credit rating global economy ...,"The agency also noted increased tensions with long-time rival Iran and greater uncertainty over economic policy, now overseen by Deputy",Daily Mail,economy,2016-04-12 17:41:16,0.0988211768802618,-0.0818317088384971,40,1,5
78936,"After Palestine talk, Harvard donor stops sponsoring events","After Palestine talk, Harvard donor stops sponsoring events. The New York-based law firm Milbank asked that its donation of $1 million be",Press Herald,palestine,2016-02-19 15:35:10,-0.0331456303681194,-0.0244292487490803,2,0,0
82422,"Library book sales planned in Tyler, Palestine","From fiction to fitness, there's something for every reader in the annual Spring Book Sale opening this week at the Tyler Public Library. Shelves",Tyler Morning Telegraph,palestine,2016-03-08 23:15:11,0.0944911182523068,0.0701676749234765,0,0,0
19068,Chinese economic turmoil rattles the Northwest,"With that country's stock market now in freefall, and its industrial economy slamming on the brakes, nLight is also cutting back as the economic",OregonLive.com,economy,2016-01-24 14:07:26,-0.204124145231932,0.204124145231932,4,1,18
73798,National Labor Relations Board rejects Shurat HaDin complaint ...,"Shurat Hadin is an Israeli organization that uses legal cases to harass supporters of Palestinian rights and critics of Israel, a strategy known as",Mondoweiss,palestine,2016-01-22 00:58:39,-0.0196418550329598,-0.0255155181539914,45,1,1
20473,Microsoft beats Wall Street view on high demand for cloud products,"(Reuters) - Microsoft Corp reported quarterly revenue and profit that beat analysts' expectations, driven by aggressive cost cutting and growing demand for its cloud products and services. Chief Executive Satya Nadella has focussed on cloud services and mobile applications on slower growth in its traditional software business. Redmond, Wash.-based Microsoft's stock had climbed more than 26 ",Reuters via Yahoo! Sports,microsoft,2016-01-28 16:39:00,-0.334960259366859,0.0315094796831781,0,0,0
23932,Microsoftin puhelinliiketoiminta vaikeuksissa yhti vhent ...,"Kes""""ll"""" Microsoft ilmoitti v""""hent""""v""""ns"""" Suomessa olevista 3 500 ty""""paikasta enint""""""""n 2 300. Samassa yhteydess"""" Microsoft ilmoitti",Helsingin Sanomat,microsoft,2016-02-10 00:00:00,0,0,18,0,0
89032,Barack Obama reluctantly returns to the campaign trail with rare Fox ...,When President Barack Obama decides to give a keynote interview to Fox News it is a sure sign that something is stirring. For the past eight,Telegraph.co.uk,obama,2016-04-07 07:15:07,-0.273244656023598,-0.0139232338845901,2,0,0
10518,"Windows 10 Build Released, HoloLens Showcase: Microsoft Roundup","If you were busy with last-minute holiday shopping this week, you may have missed Microsoft's updates on Windows 10, HoloLens, and",InformationWeek,microsoft,2015-12-19 15:20:23,0.0472455591261534,-0.00681930906987476,15,7,5
47437,"Finance Minister replies Ezekwesili, rejects 'opaque, archaic ...","""""""What did not work in 1984 cannot possibly be a solution in a global economy that's much more integrated,"""""" Mrs. Ezekwesili pointed out.",Premium Times,economy,2016-05-05 12:10:27,0,-0.228919827505246,228,2,0
64550,GOP rebuffs Obama's climate plans as UN conference starts,Senior congressional Republicans attacked President Obama's climate agenda over the weekend before he left for a major climate summit in,The Hill,obama,2015-11-30 16:24:36,-0.0416666666666667,-0.0559016994374947,509,1,0
28221,Airlines are making economy class even worse,"But the basic features of economy-class air travel are steadily becoming privileges, not rights. More and more airlines are offering tickets for",Quartz,economy,2016-03-01 14:30:25,-0.142277376555126,-0.161598670894233,20,1,17
68399,Here's a Video of President Obama Saying &quot;Merry Christmas&quot; Over ...,"One of the more bizarre paranoias of modern U.S. political culture concerns the so-called &quot;War on Christmas,&quot; in which liberals are alleged to",Slate Magazine (blog),obama,2015-12-22 20:56:44,-0.0721687836487032,0.0541265877365274,916,0,0
39390,Microsoft is taking its cues from Facebook as it totally shakes up Office,"Similarly, the most exciting thing to happen to Microsoft Office in the last ten years was probably the demise of Clippy, and yet it's still the center of many millions",Business Insider,microsoft,2016-04-02 18:59:19,0.340909495596755,-0.190507468910031,36,10,329
52414,US economy grew at 0.8 per cent rate in first quarter,"WASHINGTON - The U.S. economy's slowdown in growth at the beginning of the year wasn't quite as bad as first thought, thanks to a bigger boost from housing and less drag from business investment and trade. The gross domestic product, the broadest measure of economic output, grew at an annual ",The Moose Jaw Times Herald,economy,2016-05-27 06:13:00,0.0296463530640786,-0.0795855897600777,0,0,0
21231,"Microsoft Lumia, Surface and Band 2: Top must-have accessories","Some must-have accessories are now available for the new Microsoft Lumia phone, the Surface tablet and the latest Band at reasonable prices",International Business Times UK,microsoft,2016-02-01 11:54:28,0.0833333333333333,0.230234665521353,2,7,3
100213,What Modi hopes to get out of his latestand possibly laststate ...,"""""""Well, there is nothing Obama can give at this time,"""""" says Manoj Joshi, a fellow at Observer Research Foundation, a New Delhi-based think",Quartz,obama,2016-06-07 00:35:32,-0.0580123955218886,0.0395730241121885,17,1,12
27932,"Microsoft to ship developer HoloLens for $3,000 in March","Microsoft says it will start shipping a developer version of its augmented reality device, HoloLens, for $3,000 on March 30. ",Washington Post,microsoft,2015-03-01 07:21:00,-0.0441941738241592,-0.147313912747197,-1,-1,-1
60338,"Utahns' confidence in the state economy is increasing, survey says","The economy in Utah is flourishing, according to an economic consultant. And a new survey shows that Utahns are feeling quite ",Deseret News,economy,2016-06-28 16:30:00,0.158113883008419,-0.0147751696513952,-1,-1,-1
43142,Disruptions from twin quakes in southern Japan hit economy,"TOKYO (AP) """""" The twin earthquakes that have paralyzed parts of southern Japan are having ripple effects far beyond the disaster zone, with Toyota Motor",Business Insider,economy,2016-04-18 05:41:15,0.0520833333333333,-0.312565097386395,0,0,0
21801,Opposition claims Fine Gael and Labour figures on the economy just ...,"A Fine Gael spokesman said: """"""Fianna F""""il and others opposed all of our policy measures which have delivered the growth in the economy to",Irish Examiner,economy,2016-02-03 02:20:24,-0.00628148634537007,-0.1125,0,0,6
73819,Palestine police investigating crash involving bicyclist,"About 2 p.m., the Palestine Police Department Patrol Division was dispatched to the 1500 block of West Palestine Avenue after a report that a",NewsWest9.com,palestine,2016-01-21 22:05:30,0.023814483610392,-0.0716768298321195,0,0,0
36986,Non-profit luring small businesses to St. Louis to boost economy,"ST. LOUIS (KTVI) - Young entrepreneurs are settling in St. Louis at a rapid rate, starting or expanding their respective businesses. They're",fox2now.com,economy,2016-03-29 05:41:14,-0.188444590361102,-0.190940653956493,9,0,0
6395,Is a Microsoft Surface Phone on deck?,Microsoft may be abandoning plans for an Intel-powered Windows 10 phone in favor of one designed by the folks who built the company's,Fox News,microsoft,2015-12-02 18:20:22,0,-0.0637127376285507,4,0,3
42246,How Microsoft Office Is Helping Azure,"Microsoft (NASDAQ:MSFT) increasingly depends on its many cloud services, including Office 365 and Azure. These products, while united by",Motley Fool,microsoft,2016-04-14 12:43:22,0,-0.132033534336964,7,1,40
48403,Annual report shows growing economy in downtown Troy,"The report shows the increased business is focused on the creative economy, including accommodation, food, retail, and the arts. It makes the",NEWS10 ABC,economy,2016-05-10 03:29:18,0,-0.0133250447722257,34,0,0
43903,Deja Vu! Google's antitrust offenses are like Microsoft's (and the ...,"Microsoft made like-claims during its antitrust defense here and in Europe covering Microsoft's legal woes, I know this: Exclusive agreements,",BetaNews,microsoft,2016-04-21 00:15:20,0.118585412256314,0.0277318568841573,3,14,8
55706,It once was lost,"The city's economic growth topped 8% last year, the fastest since 2011. But with bad loans still clogging its bank system, many of the city's scars",The Economist,economy,2016-06-10 00:00:00,0.0625,-0.139372008855425,-1,3,52
63104,Why Obama Is Standing by the Syrian Refugees,"Once upon a time, liberals criticized Barack Obama for only taking on fights he knew he could win. Not anymore. In 2013, Obama responded to",The Atlantic,obama,2015-11-23 11:44:35,-0.176776695296637,-0.112551785634829,1237,35,14
13575,Improved economy creates prison staffing crisis for Kansas,Sam Brownback persuaded the GOP-dominated Legislature into enacting massive income tax cuts in 2012 and 2013 as an economic stimulus.,Daily Mail,economy,2016-01-03 17:40:17,0.132582521472478,-0.0286769667338202,3,0,0
64568,"Hutsonville-Palestine downs Ramsey, 54-40, at Mulberry Grove ...","Their point total went down for the third straight game, but Hutsonville-Palestine's boys' basketball team still generated enough points to get",Robdailynews,palestine,2015-11-30 20:27:44,0,-0.0148642989520648,0,0,0
25845,"Rupert Murdoch is right, the tax deal with Google is 'token'",On Thursday Rupert Murdoch attacked Google's tax deal with the UK as 'token'. Spot on. ,Sydney Morning Herald,microsoft,2016-01-29 04:12:00,-0.0582103096237465,-0.00717219138186565,-1,-1,-1
25222,Opposition parties accused of 'talking down the economy',"CAPE TOWN - Minister of Economic Development Ebrahim Patel has hit back at opposition Members of Parliament (MPs), accusing them of",Eyewitness News,economy,2016-02-17 18:23:25,-0.184418604520398,0.0419262745781211,7,0,0
2325,Refugee crisis could boost Swedish economy,Economists from Swedish bank Nordea have suggested that the nation's economy will grow by 0.5 percent as Sweden continues to take in,The Local.se,economy,2015-11-16 12:20:09,0.102062072615966,-0.102289636048121,53,0,0
3348,Bits | A Reality Check for Microsoft's HoloLens,"Microsoft invited a handful of journalists to its corporate campus here on Thursday to see the latest demonstration of HoloLens, the headset it is",New York Times (blog),microsoft,2015-11-20 05:01:16,-0.0472455591261534,0.0907501929010296,129,14,361
77395,Cristiano Ronaldo Attacked on Social Media For Starring in Israel ...,Cristiano Ronaldo Israel Palestinian Conflict Football superstar Cristiano Ronaldo poses for photographers on the red carpet at the world,Newsweek,palestine,2016-02-11 14:16:16,-0.0395284707521047,-0.121877108618736,436,10,1
48541,US economy seen expanding 2.2 percent in second quarter: Atlanta ...,NEW YORK U.S. economy is on track to grow by a 2.2 percent annualized rate in the second quarter following data that showed stronger,Reuters,economy,2016-05-10 16:57:15,-0.0833333333333333,-0.233892249744921,13,1,15
75001,"Special night for Rebels, Bulldogs","EAST PALESTINE-Despite their records and the final score of the game, Thursday's game between East Palestine and Crestview held a lot of significance. On the line for Crestview was coach Rick Gates 300th wi. ",Lisbon Morning Journal,palestine,2016-01-28 21:52:00,0,-0.193681183375285,0,0,0
23795,Microsoft to Facebook sing the rhythm of their success in style,"A 2008 video of former Microsoft CEO Steve Ballmer shows the world how it is done. During a speech to his employees, he starts chanting,",Businessinsider India,microsoft,2016-02-11 08:37:33,0.0690963497990709,-0.159471988462447,2,0,0
78765,Obama Just Eliminated Abstinence-Only Sex Ed From The Federal ...,"President Barack Obama cut all funding for abstinence-only sex ed in public schools from his proposed 2017 budget, released last week.",Refinery29,obama,2016-02-18 19:55:03,-0.214112549907234,-0.0970568601087889,197,0,0
45106,Microsoft Surface phone may come with Qualcomm Snapdragon ...,"Microsoft's fortunes in the smartphone market are abysmal to say the least. In Q4, the shipments of its Lumia line of smartphones tanked",India Today,microsoft,2016-04-26 07:21:04,0.127672057714238,-0.078192905271403,1,1,1
85871,Obama Claims Power to Make Churches Fund Abortion,The Obama administration is claiming it has the unprecedented power to compel churches to provide abortion-related products and services.,Breitbart News,obama,2016-03-24 14:15:07,0.0484662772938278,0.0768648367265553,419,11,3
17219,Microsoft said to be close to acquiring InMobi,"According to a report from SeekingAlpha, Microsoft seems to have gained success in bidding for the Indian firm, which was already on the radar",Neowin,microsoft,2016-01-16 16:00:27,0.176776695296637,-0.0935568998979686,19,0,37
65979,Obama's clueless speech on terrorism,"The end of Obama's public denial on this topic was a long time coming, Obama and the Democrats need to learn that Islamic terrorism is not",Washington Examiner,obama,2015-12-08 05:44:38,-0.0139754248593737,0.083757932715266,140,0,0
55843,Indonesian Government Focuses on Building Creative Economy Ecosystem,"JAKARTA, Indonesia, June 12, 2016 - (ACN Newswire) - The Indonesian government is focused on the creative economy ecosystem in Indonesia. Through it, says Triawan Munaf, head of the Creative Economy Agency (BERKAF), new entrepreneurs in the creative industries will be able to assist each other, and grow their businesses together. ",ACN Newswire via Yahoo! New Zealand Finance,economy,2016-06-12 00:55:00,0.0441941738241592,-0.0531799448169407,-1,0,0
23699,"Amid steady growth, warning signs loom for Ore. economy","SALEM, Ore. (AP) - State economists say Oregon's economy and job market continue to grow at a steady pace but they warn that ongoing",kgw.com,economy,2016-02-10 21:40:23,-0.385416666666667,-0.11457432647407,7,0,0
19329,Microsoft's virtual assistant Cortana will be able help you manage your time — here's why she's different than Google,"Today, Microsoft announced an upgrade for its Cortana personal digital assistant, coming soon to ",Business Insider via Yahoo! Finance,microsoft,2016-01-25 06:00:00,0,0.126169577952824,0,0,1
80109,Obama Orders Acceleration of War Against ISIS,"President Obama urges ceasefire, looks for diplomatic end to Syrian civil war ",KABC-TV Los Angeles,obama,2016-02-25 15:54:00,-0.0944911182523068,-0.0721687836487032,1,1,0
80897,Obama administration to renegotiate international anti-hacking regs,The Obama administration is telling lawmakers that it will seek to renegotiate certain portions of a 41-nation agreement designed to keep,The Hill,obama,2016-02-29 22:33:06,0.0441941738241592,-0.139113905025445,16,1,23
70691,Palestinian Wave of Violence Marked by Increased Female Role,When Palestinian youths began a wave of grassroots and often suicidal stabbing attacks against Israeli soldiers and civilians several months,ABC News,palestine,2016-01-06 07:24:57,-0.166666666666667,0,9,0,0
45682,Comparing the US Federal Reserve's Views on World Economy,Then: &quot;Economic activity has been expanding at a moderate pace despite the global economic and financial developments of recent months.&quot;.,ABC News,economy,2016-04-27 22:20:15,-0.0416666666666667,0.153238014880595,0,0,0
7948,The beer boom is a taste of what New York's economy could be,"Craft breweries are booming in New York """""" a testament to what can happen when the government makes it a bit easier to do business here.",New York Post,economy,2015-12-09 00:46:18,-0.0404468893080895,-0.0291666666666666,45,0,1
101179,Cuomo stifles Israel-Palestine human rights fight: Letter,We see his order as an unconstitutional stifling of free speech rights regarding the struggle for human rights in the Israel/Palestine conflict.,The Journal News | LoHud.com,palestine,2016-06-13 23:05:49,-0.0883883476483184,-0.422067926453862,3,0,0
66991,UPDATE: 3 arrested in connection with Palestine man shot in the face,"On Friday, December the 11th, 2015, three people were arrested in connection with the recent shooting of a 55 year old Palestine man, which occurred in the 500 Block of S. May St, on Thursday. ",CBS 19 Tyler,palestine,2015-12-14 15:04:00,-0.201007563051843,-0.0386699020961393,0,0,0
31429,Microsoft India Nearly Doubles Price of Gears of War: Ultimate ...,Microsoft has almost doubled the price of Gears of War: Ultimate Edition for Windows 10 PCs. At launch the game was Rs. 729 but now it's,NDTV,microsoft,2016-03-15 09:04:38,-0.0395284707521047,-0.08930431353897,13,1,1
103797,Netanyahu 'to work toward ousting Arab Knesset member',"In the photo above, she is seen during an August 16, 2015 demonstration in support of Mohammed Allan, a Palestinian held by Israel without",Press TV,palestine,2016-06-30 06:00:23,0.0727362444189287,-0.173225582038933,15,5,0
31106,Step-by-step guide: Switch from Evernote to OneNote without losing a thing,Microsoft on Friday released a OneNote importer tool th […] ,SiliconANGLE,microsoft,2016-03-13 22:56:00,-0.173343811320384,-0.0416666666666667,1,0,19
57792,Zim economy ranked among Africa's worst,"The report was based on several indicators that include the economy, education, health, safety and security, governance, entrepreneurship,",NewsDay,economy,2016-06-20 04:20:06,-0.17754548048819,0.244909379942216,43,0,1
83661,'Obama right in criticising Cameron',"US President Barack Obama speaks at a Democratic National Committee event at Gilley's Club in Dallas on March 12, 2016. / AFP / MANDEL",gulfnews.com,obama,2016-03-14 13:15:06,0.0254635568419898,-0.0279508497187474,0,0,0
82985,Obama: Don't Blame Me for Donald Trump's Rise,"President Barack Obama said he cannot be blamed for the rise of Republican presidential front-runner Donald Trump. """"""I've been blamed by",TheBlaze.com,obama,2016-03-10 19:15:06,0.12772116235182,-0.0828817784832435,125,0,0
96181,Commemorating the Palestinian Nakba of 1948,"The British occupation of Palestine in 1919, shortly after World War I, permitted the influx of Jewish immigrants into Palestine-in spite of",Antiwar.com (blog),palestine,2016-05-12 17:00:20,0,-0.253175850672287,18,1,0
76433,US will look into India's concerns on visa fee hike: Obama assures ...,U.S. President Barack Obama has assured Prime Minister Narendra Modi that his administration would soon look into India's concerns over the,The Hindu,obama,2016-02-05 20:45:32,0.180421959121758,0.328684437714899,13,1,0
